"id","created_at","updated_at","name","start_date","end_date","cme_provider","venue","lat","lng","description","instructors","cme_credit","self_assessment_module","crawl_url","cme_course_webpage_url","background_image","price","event_type","is_edited","need_map_data","status","medical_field","points","event_remark","destination_id"

4,"2024-01-04 09:37:58.972","2024-01-05 03:33:48.995","2021 Society of Abdominal Radiology Digital Annual Meeting","2021-03-20 00:00:00.000","2021-03-25 00:00:00.000","Society of Abdominal Radiology ›, Sue O'Sullivan, 1061 E. Main Street, Ste 300, Ste 300, Elgin, Illinois (IL)  60118, United States","",,,"The SAR Annual Scientific and Educational Programming Committees have developed an exciting meeting with quality educational and scientific content for the 2021 SAR Digital Annual Meeting
Visit the CME Course Webpage ›
View the Course Brochure ›",Please visit the Society of Abdominal Radiology website for more information.,"Physicians:  up to 41.75 Hours
Radiologic Technologists:  Credit Available",Yes,http://www.radlist.com//PubCMEDetails.aspx?id=23646,https://abdominalradiology.org/sar-subpages/annual-meeting/,"","",Webinars,false,false,ACCEPTED,Radiologic Technologist,,"",

56,"2024-01-04 09:38:12.473","2024-01-05 03:33:42.856",Penn Radiology Emergency Imaging After Hours (Online Streaming & USB Flash Drive formats),"2022-05-20 00:00:00.000","2025-05-19 00:00:00.000","Meetings By Mail ›, Gregg Savarese, 611 Route 46 West, 4th Floor, Hasbrouck Heights, New Jersey (NJ)  07604, United States","",,,"Penn Radiology Emergency Imaging After Hours provides insight for imaging conditions where rapid response is required.
An elite faculty guides learners with practical lessons in modality choice, image acquisition and interpretation skills for a wide range of clinical presentations.  Selected topics in chest, neuroradiology, abdominal, pelvic, pediatric and  musculoskeletal imaging are presented to ensure confident analysis, so the practitioner is never outside of their comfort zone.  Worth up to 15.75 AMA PRA Category I Credits™, all applicable as SA-CME for Maintenance of Certification requirements.
Topics include: COVID-19, pneumonia, pneumonitis, chest pain, pulmonary embolism, metabolic encephalopathies, CNS infections, facial trauma, head and neck emergencies, abdominal and pelvic trauma, post operative complications, obstetric and gynecologic emergencies, pediatric fractures, GI and GU incidentalomas in children, lower extremity trauma, MSK ultrasound, shoulder pain, spine emergencies and much more!
Available now in online streaming and USB Flash Drive formats!
Visit the CME Course Webpage ›
View the Course Brochure ›","Course Director: Suyash Mohan, MD
Faculty
Farouk Dako, MD, MPH
Victor Ho-Fung, MD
Arun C. Nachiappan, MD
Jason W. Stephenson, MD
Susan L. Summerton, MD",Physicians:  15.25 Hours,Yes,http://www.radlist.com//PubCMEDetails.aspx?id=24387,https://meetings-by-mail.com/proddetail.asp?prod=UPenn019,"","",Courses,false,false,ACCEPTED,Radiology,,"",

2,"2024-01-04 09:37:58.884","2024-01-05 03:33:48.989",VIRTUAL Mammography in Santa Fe in the Virtual Big Apple,"2021-12-10 00:00:00.000","2021-12-12 00:00:00.000","iiCME ›, Wendy Ryals, PO Box 350, 6438 US Hwy 11, Springville, Alabama (AL)  35146, United States","",,,"Please note: This course will be a virtual activity.
LECTURE TIMES ARE EASTERN STANDARD TIME
Welcome to the VIRTUAL SANTA FE IN THE VIRTUAL BIG APPLE course!  Because of the many travel challenges confronting us due to the pandemic, we are offering this VIRTUAL version of our live 25th Anniversary MAMMOGRAPHY IN SANTA FE, which is on the ground in Santa Fe, August 2-6.  In lieu of our long-standing “Breast Imaging in the Big Apple” conference in New York, we are moving our Virtual Santa Fe meeting into the Big Apple time slot, December 10-12!
This VIRTUAL course cannot offer the unique hands-on interactive workshops of the meeting on the ground, but we are able to offer the ENTIRE DIDACTIC PROGRAM of 24 lectures presented by our world-class faculty at the Santa Fe conference on the ground in August.  These lectures will provide attendees with an overview of both basic principles of breast imaging and cutting edge advanced concepts, all designed to provide valuable practical information to bolster the skills of today’s busy breast imager.  We look forward to your joining us virtually for a weekend with the Legends of Breast Imaging – TABAR, STAVROS, CARDEÑOSA, NEWSTEAD, PORTER, & COMSTOCK, AMONG OTHERS – who have taken breast imaging to the next level with their brilliant teaching at our Santa Fe course over the past 25 years!
Visit the CME Course Webpage ›","Program Co-Directors
Michael N. Linver, MD, FACR, FSBI
Clinical Professor of Radiology
University of New Mexico School of Medicine
Albuquerque, New Mexico
Adjunct Professor of Radiology
George Washington University School of Medicine
Washington, DC
Jamie Giesbrandt, MD
Director of Breast Imaging
Lovelace Medical Center
Albuquerque, New Mexico","Physicians:  20.25 Hours
Physician Assistants:  20.25 Hours
Radiologic Technologists:  20.25 Hours",Yes,http://www.radlist.com//PubCMEDetails.aspx?id=24050,https://iicme.com/event/virtual-mammography-in-santa-fe-featuring-the-legends-of-breast-imaging/,"","",Webinars,false,false,ACCEPTED,Radiologic Technologist,,"",

48,"2024-01-04 09:38:12.384","2024-01-05 03:33:42.601",Cleveland Clinic State of the Art Echocardiography (Online Streaming & DVD-ROM),"2021-05-01 00:00:00.000","2024-04-30 00:00:00.000","Meetings By Mail ›, Gregg Savarese, 611 Route 46 West, 4th Floor, Hasbrouck Heights, New Jersey (NJ)  07604, United States","",,,"Cleveland Clinic’s State of the Art Echocardiography highlights practical issues in echocardiography, featuring insight and real world cardiovascular clinical practice cases from nearly 30 internationally renowned experts.  This activity provides guidance for optimal utilization of echocardiography in managing valvular heart disease, heart failure, device therapies, cardiomyopathies and endocarditis. Special sessions will be dedicated to structural heart interventions, adult congenital cardiology, innovative technologies and multimodality imaging. Worth 18 AMA PRA Category I Credits™, this enduring material meets Echo Lab CME requirements for physicians and sonographers, with NO POST TEST.  Additionally, physicians can earn up to 18 ABIM MOC points for this activity.  State of the Art Echocardiography can also aid preparation for initial board certification or MOC assessment in general cardiology and echo.
Topics include structural heart disease, aortic stenosis, mitral regurgitation, management of device therapies for heart failure, endocarditis, congenital heart disease, cardiomyopathy, strain imaging, TAVR, diastology, COVID and much more!
Visit the CME Course Webpage ›
View the Course Brochure ›","Course Director: Richard Grimm, DO
Faculty includes 30 world renowned experts from Cleveland Clinic.",Physicians:  Credit Available,Yes,http://www.radlist.com//PubCMEDetails.aspx?id=23824,https://meetings-by-mail.com/products.asp?cat=20,"","",Courses,false,false,ACCEPTED,Radiology,,"",

14,"2024-01-04 09:38:03.388","2024-01-05 03:34:02.767",ONLINE Paediatric Musculoskeletal Imaging Fellowship – Lower extremity,"2023-12-18 00:00:00.000","2023-12-20 00:00:00.000","TMC Academy ›, C/Marina 16-18, 33rd floor, Barcelona, 08005, Spain","Torre Mapfre, C/Marina 16-18, Barcelona, 08005, Spain",41.397736,2.201535,"The aim of this course is to provide the radiologist approaching paediatric MSK imaging with the fundamental knowledge to manage the performance, interpretation and multidisciplinary discussion of the most common lower limb examinations.
Visit the CME Course Webpage ›",Paolo Simoni M.D. Ph.D. MBA,"Physicians:  Credit Available
Radiologic Technologists:  12 Hours",No,http://www.radlist.com//PubCMEDetails.aspx?id=24617,https://academy.telemedicineclinic.com/fellowships/3605/online-paediatric-musculoskeletal-imaging-fellowship-lower-extremity-dec-2023/,"","",On-site meeting,false,false,ACCEPTED,Radiology,,"",2
